Datum1 sensor1 Datum2 sensor2 YYYYMMDD precipitation
"2021-06-26 17:28:32" 10 "2021-06-26 18:25:17" 13 2021-09-20 0
"2021-06-26 18:28:32" 10.1 "2021-06-26 19:25:17" 12.9 2021-09-21 0
"2021-06-26 19:28:32" 10.1 "2021-06-26 20:25:17" 12.8 2021-09-22 0
"2021-06-26 20:28:30" 10.1 "2021-06-26 21:25:16" 12.7 2021-09-23 6
"2021-06-26 21:28:30" 10.2 "2021-06-26 22:25:15" 12.4 2021-09-24 -1
"2021-06-26 22:28:30" 10.2 "2021-06-26 23:25:15" 12  
"2021-06-26 23:28:30" 10.2 "2021-06-27 00:25:15" 11.7  
"2021-06-27 00:28:29" 10.2 "2021-06-27 01:25:15" 11.4  
"2021-06-27 01:28:29" 10.2 "2021-06-27 02:25:15" 11.1  
"2021-06-27 02:28:29" 10.2 "2021-06-27 03:25:15" 10.8  
"2021-06-27 03:28:29" 10.2 "2021-06-27 04:25:15" 10.5  
"2021-06-27 04:28:29" 10.2 "2021-06-27 05:25:14" 10.4  
"2021-06-27 05:28:28" 10.2 "2021-06-27 06:25:14" 10.2  
"2021-06-27 06:28:27" 10.1 "2021-06-27 07:25:13" 10  
"2021-06-27 07:28:27" 10.1 "2021-06-27 08:25:13" 9.9  
"2021-06-27 08:28:27" 10.1 "2021-06-27 09:25:13" 9.9  
"2021-06-27 09:28:27" 10 "2021-06-27 10:25:13" 9.9  
"2021-06-27 10:28:26" 10 "2021-06-27 11:25:13" 10  
"2021-06-27 11:28:24" 9.9 "2021-06-27 12:25:13" 10.1  
"2021-06-27 12:28:24" 9.9 "2021-06-27 13:25:12" 10.1  
"2021-06-27 13:28:24" 9.8 "2021-06-27 14:25:12" 10.2  
"2021-06-27 14:28:24" 9.7 "2021-06-27 15:25:12" 10.2  
"2021-06-27 15:28:24" 9.7 "2021-06-27 16:25:12" 10.2  
"2021-06-27 16:28:24" 9.7 "2021-06-27 17:25:11" 10.2  
"2021-06-27 17:28:22" 9.7 "2021-06-27 18:25:11" 10.2  
"2021-06-27 18:28:22" 9.7 "2021-06-27 19:25:11" 10.1  
"2021-06-27 19:28:22" 9.7 "2021-06-27 20:25:10" 10.1  
"2021-06-27 20:28:22" 9.8 "2021-06-27 21:25:10" 10.1  
"2021-06-27 21:28:22" 9.8 "2021-06-27 22:25:10" 10  
"2021-06-27 22:28:22" 9.8 "2021-06-27 23:25:10" 9.8  
"2021-06-27 23:28:21" 9.9 "2021-06-28 00:25:10" 9.7  
"2021-06-28 00:28:21" 9.9 "2021-06-28 01:25:10" 9.6  
"2021-06-28 01:28:20" 9.9 "2021-06-28 02:25:09" 9.4  
"2021-06-28 02:28:20" 9.9 "2021-06-28 03:25:09" 9.3  
"2021-06-28 03:28:20" 9.9 "2021-06-28 04:25:08" 9.2  
"2021-06-28 04:28:20" 9.8 "2021-06-28 05:25:08" 9  
"2021-06-28 05:28:18" 9.8 "2021-06-28 06:25:08" 8.9  
"2021-06-28 06:28:18" 9.8 "2021-06-28 07:25:08" 8.8  
"2021-06-28 07:28:18" 9.7 "2021-06-28 08:25:08" 8.7  
"2021-06-28 08:28:18" 9.7 "2021-06-28 09:25:08" 8.7  
"2021-06-28 09:28:17" 9.6 "2021-06-28 10:25:08" 8.7  
"2021-06-28 10:28:17" 9.6 "2021-06-28 11:25:08" 8.8  
"2021-06-28 11:28:17" 9.5 "2021-06-28 12:25:06" 8.8  
"2021-06-28 12:28:16" 9.4 "2021-06-28 13:25:06" 8.9  
"2021-06-28 13:28:15" 9.4 "2021-06-28 14:25:06" 8.9  
"2021-06-28 14:28:14" 9.4 "2021-06-28 15:25:06" 8.9  
"2021-06-28 15:28:14" 9.4 "2021-06-28 16:25:06" 9  
"2021-06-28 16:28:14" 9.4 "2021-06-28 17:25:06" 9  
"2021-06-28 17:28:14" 9.4 "2021-06-28 18:25:06" 9  
"2021-06-28 18:28:13" 9.4 "2021-06-28 19:25:05" 8.9  
"2021-06-28 19:28:13" 9.4 "2021-06-28 20:25:05" 8.9  
"2021-06-28 20:28:13" 9.5 "2021-06-28 21:25:04" 8.9  
"2021-06-28 21:28:13" 9.5 "2021-06-28 22:25:04" 8.8  
"2021-06-28 22:28:12" 9.5 "2021-06-28 23:25:04" 8.7  
"2021-06-28 23:28:12" 9.5 "2021-06-29 00:25:04" 8.6  
"2021-06-29 00:28:12" 9.5 "2021-06-29 01:25:04" 8.5  
"2021-06-29 01:28:11" 9.5 "2021-06-29 02:25:04" 8.3  
"2021-06-29 02:28:11" 9.5 "2021-06-29 03:25:03" 8.2  
"2021-06-29 03:28:10" 9.5 "2021-06-29 04:25:03" 8.1  
"2021-06-29 04:28:10" 9.5 "2021-06-29 05:25:03" 8  
"2021-06-29 05:28:10" 9.4 "2021-06-29 06:25:02" 7.9  
"2021-06-29 06:28:08" 9.4 "2021-06-29 07:25:02" 7.8  
"2021-06-29 07:28:08" 9.4 "2021-06-29 08:25:02" 7.8  
"2021-06-29 08:28:08" 9.4 "2021-06-29 09:25:02" 7.7  
"2021-06-29 09:28:08" 9.3 "2021-06-29 10:25:02" 7.7  
"2021-06-29 10:28:08" 9.3 "2021-06-29 11:25:01" 7.7  
"2021-06-29 11:28:08" 9.2 "2021-06-29 12:25:01" 7.7  
"2021-06-29 13:28:07" 9.2 "2021-06-29 13:25:01" 7.8  
"2021-07-01 22:27:43" 8.2 "2021-06-29 14:25:01" 7.8  
"2021-07-02 00:27:43" 8.2 "2021-06-29 15:25:01" 7.7  
"2021-07-02 02:27:43" 8.2 "2021-06-29 16:25:00" 7.7  
"2021-07-02 04:27:43" 8.2 "2021-06-29 17:25:00" 7.7  
"2021-07-02 06:27:43" 8.2 "2021-06-29 18:24:59" 7.7  
"2021-07-02 08:27:43" 8.1 "2021-06-29 19:24:59" 7.7  
"2021-07-02 09:27:40" 8.1 "2021-06-29 20:24:59" 7.6  
"2021-07-02 09:27:43"  "2021-06-29 21:24:59" 7.6  
"2021-07-02 10:27:41" 8.1 "2021-06-29 22:24:59" 7.5  
"2021-07-02 11:27:40" 8.1 "2021-06-29 23:24:59" 7.5  
"2021-07-02 11:27:41"  "2021-06-30 00:24:59" 7.4  
"2021-07-02 12:27:40" 8 "2021-06-30 01:24:58" 7.4  
"2021-07-02 13:27:40" 8 "2021-06-30 02:24:57" 7.3  
"2021-07-02 14:27:40" 8 "2021-06-30 03:24:57" 7.2  
"2021-07-02 15:27:40" 8 "2021-06-30 04:24:57" 7.2  
"2021-07-02 16:27:40" 7.9 "2021-06-30 05:24:57" 7.1  
"2021-07-02 17:27:40" 7.9 "2021-06-30 06:24:57" 7.1  
"2021-07-02 18:27:38" 7.9 "2021-06-30 07:24:57" 7  
"2021-07-02 19:27:37" 7.9 "2021-06-30 08:24:57" 7  
"2021-07-02 20:27:37" 7.9 "2021-06-30 09:24:57" 6.9  
"2021-07-02 21:27:37" 7.9 "2021-06-30 10:24:55" 6.9  
"2021-07-02 22:27:37" 7.9 "2021-06-30 11:24:55" 6.9  
"2021-07-02 23:27:36" 7.9 "2021-06-30 12:24:55" 6.9  
"2021-07-03 00:27:36" 7.9 "2021-06-30 13:24:55" 6.9  
"2021-07-03 01:27:36" 7.9 "2021-06-30 14:24:55" 6.9  
"2021-07-03 02:27:36" 7.9 "2021-06-30 15:24:55" 6.9  
"2021-07-03 03:27:35" 7.9 "2021-06-30 16:24:55" 6.8  
"2021-07-03 04:27:35" 7.9 "2021-06-30 17:24:54" 6.8  
"2021-07-03 05:27:35" 7.9 "2021-06-30 18:24:54" 6.8  
"2021-07-03 06:27:34" 7.9 "2021-06-30 19:24:53" 6.8  
"2021-07-03 07:27:34" 7.8 "2021-06-30 20:24:53" 6.8  
"2021-07-03 08:27:34" 7.8 "2021-06-30 21:24:53" 6.7  
"2021-07-03 09:27:33" 7.7 "2021-06-30 22:24:53" 6.7  
"2021-07-03 10:27:33" 7.7 "2021-06-30 23:24:53" 6.7  
"2021-07-03 11:27:33" 7.6 "2021-07-01 00:24:53" 6.6  
"2021-07-03 12:27:32" 7.6 "2021-07-01 01:24:53" 6.6  
"2021-07-03 13:27:31" 7.6 "2021-07-01 02:24:52" 6.6  
"2021-07-03 14:27:31" 7.5 "2021-07-01 03:24:52" 6.5  
"2021-07-03 15:27:31" 7.5 "2021-07-01 04:24:52" 6.5  
"2021-07-03 16:27:31" 7.5 "2021-07-01 05:24:51" 6.5  
"2021-07-03 17:27:31" 7.5 "2021-07-01 06:24:51" 6.4  
"2021-07-03 18:27:29" 7.5 "2021-07-01 07:24:51" 6.6  
"2021-07-03 19:27:29" 7.5 "2021-07-01 08:24:51" 6.8  
"2021-07-03 20:27:28" 7.5 "2021-07-01 09:24:51" 6.9  
"2021-07-03 21:27:28" 7.6 "2021-07-01 10:24:50" 7.5  
"2021-07-03 22:27:28" 7.6 "2021-07-01 11:24:50" 7.8  
"2021-07-03 23:27:28" 7.6 "2021-07-01 12:24:50" 8  
"2021-07-04 00:27:28" 7.6 "2021-07-01 13:24:50" 8.2  
"2021-07-04 01:27:27" 7.6 "2021-07-01 14:24:49" 8.4  
"2021-07-04 02:27:27" 7.6 "2021-07-01 15:24:49" 8.6  
"2021-07-04 03:27:47" 7.7 "2021-07-01 16:24:49" 8.7  
"2021-07-04 04:27:47" 7.7 "2021-07-01 17:24:48" 8.9  
"2021-07-04 05:27:47" 7.7 "2021-07-01 18:24:48" 9.1  
"2021-07-04 06:27:47" 7.6 "2021-07-01 19:24:48" 9.2  
"2021-07-04 08:27:23" 7.6 "2021-07-01 20:24:48" 9.3  
"2021-07-04 10:27:23" 7.6 "2021-07-01 21:24:48" 9.3  
"2021-07-04 12:27:23" 7.6 "2021-07-01 22:24:48" 9.2  
"2021-07-04 14:27:23" 7.5 "2021-07-01 23:24:47" 9.2  
