Date,Soil Moisture 10,Soil Moisture 20,Soil Moisture 30,date_uitheizen,precipitation
,,,,2021-07-01 05:09,1
,,,,2021-07-01 05:19,0.5
,,,,2021-07-01 05:29,0.2
,,,,2021-07-01 05:39,0
,,,,2021-07-01 05:49,0
,,,,2021-07-01 05:59,0
,,,,2021-07-01 06:09,0
,,,,2021-07-01 06:19,0
,,,,2021-07-01 06:29,0
,,,,2021-07-01 06:39,0
,,,,2021-07-01 06:49,0
,,,,2021-07-01 06:59,0
,,,,2021-07-01 07:09,0
,,,,2021-07-01 07:19,0
,,,,2021-07-01 07:29,0
,,,,2021-07-01 07:39,0
,,,,2021-07-01 07:49,0
,,,,2021-07-01 07:59,0
,,,,2021-07-01 08:09,0
,,,,2021-07-01 08:19,0
,,,,2021-07-01 08:29,0
,,,,2021-07-01 08:39,0
,,,,2021-07-01 08:49,0
,,,,2021-07-01 08:59,0
,,,,2021-07-01 09:09,0
,,,,2021-07-01 09:19,0
,,,,2021-07-01 09:29,0
,,,,2021-07-01 09:39,0
,,,,2021-07-01 09:49,0
,,,,2021-07-01 09:59,0
,,,,2021-07-01 10:09,0
,,,,2021-07-01 10:19,0
,,,,2021-07-01 10:29,0
,,,,2021-07-01 10:39,0
,,,,2021-07-01 10:49,0
,,,,2021-07-01 10:59,0
,,,,2021-07-01 11:09,0
,,,,2021-07-01 11:19,0
,,,,2021-07-01 11:29,0
,,,,2021-07-01 11:39,0
,,,,2021-07-01 11:49,0
,,,,2021-07-01 11:59,0
,,,,2021-07-01 12:09,0
,,,,2021-07-01 12:19,0
,,,,2021-07-01 12:29,0
,,,,2021-07-01 12:39,0
,,,,2021-07-01 12:49,0
,,,,2021-07-01 12:59,0
,,,,2021-07-01 13:09,0
,,,,2021-07-01 13:19,0
,,,,2021-07-01 13:29,0
,,,,2021-07-01 13:39,0
,,,,2021-07-01 13:49,0
,,,,2021-07-01 13:59,0
,,,,2021-07-01 14:09,0
,,,,2021-07-01 14:19,0
,,,,2021-07-01 14:29,0
,,,,2021-07-01 14:39,0
,,,,2021-07-01 14:49,0
,,,,2021-07-01 14:59,0
,,,,2021-07-01 15:09,0
,,,,2021-07-01 15:19,0
,,,,2021-07-01 15:29,0
,,,,2021-07-01 15:39,0
,,,,2021-07-01 15:49,0
,,,,2021-07-01 15:59,0
,,,,2021-07-01 16:09,0
,,,,2021-07-01 16:19,0
