Date,Soil Moisture 10,Soil Moisture 20,Soil Moisture 30,date_tollebeek,precipitation
2021-06-28 03:08:52,28.6,33,31.1,2021-06-24 10:55,0
2021-06-28 02:08:52,28.5,33.1,31.1,2021-06-24 11:10,0
2021-06-28 01:08:52,28.6,33.1,31.2,2021-06-24 11:25,0
2021-06-28 00:08:52,28.6,33.1,31.2,2021-06-24 11:40,0
2021-06-29 23:08:51,32,34.6,32.6,2021-06-24 11:55,0
2021-06-29 22:08:51,32.1,34.7,32.6,2021-06-24 12:10,0
2021-06-29 21:08:51,31.9,34.6,32.6,2021-06-24 12:25,0
2021-06-29 20:08:51,32,34.6,32.5,2021-06-24 12:40,0
2021-06-29 19:08:51,32,34.6,32.6,2021-06-24 12:55,0
2021-06-29 17:08:51,32.1,34.5,32.5,2021-06-24 13:10,0
2021-06-29 16:08:51,32.2,34.5,32.5,2021-06-24 13:25,0
2021-06-29 15:08:51,32.2,34.4,32.5,2021-06-24 13:40,0
2021-06-29 14:08:51,32.2,34.4,32.5,2021-06-24 13:55,0
2021-06-29 13:08:51,32.3,34.3,32.5,2021-06-24 14:10,0
2021-06-29 12:08:51,32.2,34.2,32.5,2021-06-24 14:25,0
2021-06-29 11:08:51,32.2,34.2,32.5,2021-06-24 14:40,0
2021-06-29 10:08:51,32.3,34.1,32.4,2021-06-24 14:55,0
2021-06-29 09:08:51,31.9,33.9,32.3,2021-06-24 15:10,0
2021-06-29 08:08:51,31.9,33.9,32.3,2021-06-24 15:25,0
2021-06-29 07:08:51,31.9,33.9,32.3,2021-06-24 15:40,0
2021-06-29 06:08:51,31.8,33.8,32.3,2021-06-24 15:55,0
2021-06-29 05:08:51,31.8,33.8,32.3,2021-06-24 16:10,0
2021-06-29 04:08:51,31.8,33.8,32.3,2021-06-24 16:25,0
2021-06-29 03:08:51,31.9,33.8,32.3,2021-06-24 16:40,0
2021-06-29 02:08:51,31.8,33.7,32.3,2021-06-24 16:55,0
2021-06-29 01:08:51,31.9,33.7,32.3,2021-06-24 17:10,0
2021-06-29 00:08:51,31.8,33.7,32.3,2021-06-24 17:25,0
2021-06-30 23:08:51,32.3,35.5,33,2021-06-24 17:40,0
2021-06-30 22:08:51,32.2,35.5,32.9,2021-06-24 17:56,0
2021-06-30 21:08:51,32.2,35.6,32.9,2021-06-24 18:11,0
2021-06-30 20:08:51,32.3,35.6,33,2021-06-24 18:26,0
2021-06-30 19:08:51,32.3,35.5,32.9,2021-06-24 18:41,0
2021-06-30 18:08:51,32.4,35.4,32.9,2021-06-24 18:56,0
2021-06-30 17:08:51,32.4,35.4,32.8,2021-06-24 19:11,0
2021-06-30 16:08:51,32.4,35.4,32.8,2021-06-24 19:26,0
2021-06-30 15:08:51,32.5,35.1,32.7,2021-06-24 19:41,0
2021-06-30 14:08:51,32.1,34.7,32.6,2021-06-24 19:56,0
2021-06-30 13:08:51,31.7,34.6,32.5,2021-06-24 20:11,0
