Datum1 sensor1 Datum2 sensor2 YYYYMMDD precipitation
2021-07-02 7,9 2021-06-30 7,1  
2021-07-02 7,9 2021-06-30 7,1  
2021-07-02 7,9 2021-06-30 7  
2021-07-02 7,9 2021-06-30 7  
2021-07-02 7,9 2021-06-30 6,9  
2021-07-02 7,9 2021-06-30 6,9  
2021-07-02 7,9 2021-06-30 6,9  
2021-07-02 7,9 2021-06-30 6,9  
2021-07-03 7,9 2021-06-30 6,9  
2021-07-03 7,9 2021-06-30 6,9  
2021-07-03 7,9 2021-06-30 6,9  
2021-07-03 7,9 2021-06-30 6,8  
2021-07-03 7,9 2021-06-30 6,8  
2021-07-03 7,9 2021-06-30 6,8  
2021-07-03 7,9 2021-06-30 6,8  
2021-07-03 7,8 2021-06-30 6,8  
2021-07-03 7,8 2021-06-30 6,7  
2021-07-03 7,7 2021-06-30 6,7  
2021-07-03 7,7 2021-06-30 6,7  
2021-07-03 7,6 2021-07-01 6,6  
2021-07-03 7,6 2021-07-01 6,6  
2021-07-03 7,6 2021-07-01 6,6  
2021-07-03 7,5 2021-07-01 6,5  
2021-07-03 7,5 2021-07-01 6,5  
2021-07-03 7,5 2021-07-01 6,5  
2021-07-03 7,5 2021-07-01 6,4  
2021-07-03 7,5 2021-07-01 6,6  
2021-07-03 7,5 2021-07-01 6,8  
2021-07-03 7,5 2021-07-01 6,9  
2021-07-03 7,6 2021-07-01 7,5  
2021-07-03 7,6 2021-07-01 7,8  
2021-07-03 7,6 2021-07-01 8  
2021-07-04 7,6 2021-07-01 8,2  
2021-07-04 7,6 2021-07-01 8,4  
2021-07-04 7,6 2021-07-01 8,6  
2021-07-04 7,7 2021-07-01 8,7  
2021-07-04 7,7 2021-07-01 8,9  
2021-07-04 7,7 2021-07-01 9,1  
2021-07-04 7,6 2021-07-01 9,2  
2021-07-04 7,6 2021-07-01 9,3  
2021-07-04 7,6 2021-07-01 9,3  
2021-07-04 7,6 2021-07-01 9,2  
2021-07-04 7,5 2021-07-01 9,2  
2021-07-04 7,5 2021-07-02 9,2  
2021-07-04 7,5 2021-07-02 9,1  
2021-07-04 8 2021-07-02 9,1  
2021-07-04 11,7 2021-07-02 9  
2021-07-04 10,9 2021-07-02 9,2  
2021-07-04 10,5 2021-07-02 9,1  
2021-07-04 10,3 2021-07-02 9,1  
2021-07-04 10,2 2021-07-02 9,1  
2021-07-04 10,1 2021-07-02 9,1  
2021-07-05 10 2021-07-02 9,1  
2021-07-05 9,9 2021-07-02 9,2  
2021-07-05 9,8 2021-07-02 9,3  
2021-07-05 9,8 2021-07-02 9,3  
2021-07-05 9,7 2021-07-02 9,4  
2021-07-05 9,7 2021-07-02 9,5  
2021-07-05 9,7 2021-07-02 9,5  
2021-07-05 9,6 2021-07-02 9,5  
2021-07-05 9,6    
2021-07-05 9,6    
2021-07-05 9,6    
2021-07-05 9,7    
2021-07-05 9,7    
2021-07-05 9,7    
2021-07-05 9,6    
2021-07-05 9,6    
2021-07-05 9,5    
2021-07-05 9,5    
2021-07-05 9,4    
2021-07-05 9,4    
2021-07-05 9,5    
2021-07-05 9,5    
2021-07-05 9,5    
2021-07-05 9,5    
2021-07-06 9,5    
2021-07-06 9,5    
2021-07-06 9,5    
2021-07-06 9,4    
2021-07-06 9,4    
2021-07-06 9,4    
2021-07-06 9,4    
2021-07-06 9,4    
2021-07-06 9,4    
2021-07-06 9,4    
2021-07-06 9,4    
2021-07-06 9,2    
2021-07-06 9,2    
2021-07-06 9,2    
2021-07-06 9,2    
2021-07-06 9,2    
2021-07-06 9,2    
2021-07-09 8,5    
2021-07-09 8,5    
2021-07-09 8,4    
2021-07-09 8,4    
2021-07-09 8,4    
2021-07-09 8,3    
2021-07-09 8,3    
2021-07-09 8,4    
2021-07-09 8,4    
2021-07-09 8,4    
2021-07-09 8,4    
2021-07-09 8,5    
2021-07-10 8,5    
2021-07-10 8,5    
2021-07-10 8,5    
2021-07-10 8,5    
2021-07-10 8,5    
2021-07-10 8,4    
2021-07-10 8,4    
2021-07-10 8,4    
2021-07-10 8,4    
2021-07-10 8,4    
2021-07-10 8,3    
2021-07-10 8,3    
2021-07-10 8,2    
2021-07-10 8,2    
2021-07-10 8,1    
2021-07-10 8,1    
2021-07-10 8,1    
2021-07-10 8,1    
2021-07-10 8,2    
2021-07-10 8,2    
2021-07-10 8,2    
2021-07-10 8,2    
2021-07-10 8,2    
2021-07-11 8,2    
2021-07-11 8,3    
2021-07-11 8,3    
2021-07-11 8,3    
2021-07-11 8,3    
2021-07-11 8,2    
2021-07-13 8,5    
2021-07-13 8,5    
2021-07-13 8,5    
2021-07-13 8,5    
2021-07-13 8,5    
2021-07-13 8,5    
2021-07-13 8,5    
2021-07-13 8,5    
2021-07-13 8,5    
2021-07-13 8,5    
2021-07-13 8,5    
2021-07-13 8,5    
2021-07-13 8,5    
2021-07-13 8,6    
2021-07-13 8,6    
2021-07-14 8,6    
2021-07-14 8,6    
2021-07-14 8,6    
2021-07-14 8,6    
2021-07-14 8,6    
2021-07-14 8,6    
2021-07-14 8,6    
2021-07-14 8,6    
2021-07-14 8,6    
2021-07-14 8,6    
2021-07-14 8,5    
2021-07-15 30,9    
2021-07-15 36,7    
2021-07-15 40,5    
2021-07-15 41,6    
2021-07-15 42,3    
2021-07-15 42,4    
2021-07-15 42,9    
2021-07-15 42,9    
2021-07-15 42,8    
